animal_id,date_of_birth,name,datetime,monthyear,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color
A668305,2012-12-01,,2013-12-02T00:00:00-05:00,12-2013,Transfer,Partner,Other,Unknown,1 year,Turtle Mix,Brown/Yellow
A673335,2012-02-22,,2014-02-22T00:00:00-05:00,02-2014,Euthanasia,Suffering,Other,Unknown,2 years,Raccoon,Black/Gray
A675999,2013-04-03,,2014-04-07T00:00:00-05:00,04-2014,Transfer,Partner,Other,Unknown,1 year,Turtle Mix,Green
A679066,2014-04-16,,2014-05-16T00:00:00-05:00,05-2014,,,Other,Unknown,4 weeks,Rabbit Sh,Brown
A680855,2014-05-25,,2014-06-10T00:00:00-05:00,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680857,2014-05-25,,2014-06-10T00:00:00-05:00,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680858,2014-05-25,,2014-06-10T00:00:00-05:00,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680859,2014-05-25,,2014-06-10T00:00:00-05:00,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680860,2014-05-25,,2014-06-10T00:00:00-05:00,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680861,2014-05-25,,2014-06-10T00:00:00-05:00,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680862,2014-05-25,,2014-06-10T00:00:00-05:00,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680863,2014-05-25,,2014-06-10T00:00:00-05:00,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A683090,2014-04-22,Jenny Tyson,2014-07-11T00:00:00-05:00,07-2014,Adoption,,Dog,Spayed Female,2 months,Black Mouth Cur Mix,Brown/Black
A683591,2014-06-12,,2014-07-12T00:00:00-05:00,07-2014,Transfer,Partner,Bird,Unknown,4 weeks,Catbird Mix,Brown
A683693,2014-06-29,,2014-07-14T00:00:00-05:00,07-2014,Transfer,Partner,Bird,Unknown,2 weeks,Grackle Mix,Black/White
A686222,2014-03-13,,2014-08-20T00:00:00-05:00,08-2014,Transfer,Partner,Bird,Intact Male,5 months,Silkie Mix,Black
A688001,2014-07-12,,2014-09-16T00:00:00-05:00,09-2014,Transfer,Partner,Bird,Unknown,2 months,Bantam Mix,White
A688002,2014-07-12,,2014-09-16T00:00:00-05:00,09-2014,Transfer,Partner,Bird,Unknown,2 months,Bantam Mix,White
A687621,2014-03-07,,2014-09-16T00:00:00-05:00,09-2014,Transfer,Partner,Bird,Unknown,6 months,Chicken Mix,Brown
A687622,2014-03-07,,2014-09-16T00:00:00-05:00,09-2014,Transfer,Partner,Bird,Unknown,6 months,Chicken Mix,Brown
A688000,2014-07-12,,2014-09-17T00:00:00-05:00,09-2014,Transfer,Partner,Bird,Unknown,2 months,Bantam Mix,White
A693750,2013-12-14,*Stetson,2014-12-23T00:00:00-05:00,12-2014,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown/White
A694113,2013-06-20,Rooster,2014-12-23T00:00:00-05:00,12-2014,Transfer,Partner,Bird,Intact Male,1 year,Chicken Mix,Brown/Black
A694191,2014-04-22,,2014-12-27T00:00:00-05:00,12-2014,Transfer,Partner,Dog,Intact Male,8 months,Shiba Inu Mix,Tan
A694447,2014-12-07,,2014-12-29T00:00:00-05:00,12-2014,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby
A694454,2014-12-07,,2014-12-29T00:00:00-05:00,12-2014,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Longhair Mix,Blue Tabby
A694136,2009-01-02,Hershey,2014-12-31T00:00:00-05:00,12-2014,Return to Owner,,Dog,Neutered Male,5 years,Cocker Spaniel Mix,Chocolate
A604679,2008-12-27,Snowball,2015-01-01T00:00:00-05:00,01-2015,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Cream
A694566,2014-12-25,,2015-01-02T00:00:00-05:00,01-2015,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black/White
A694592,2013-12-31,*Henry,2015-01-07T00:00:00-05:00,01-2015,Transfer,Partner,Other,Unknown,1 year,Mouse Mix,Gray/Black
A694289,2013-12-24,Osiris,2015-01-08T00:00:00-05:00,01-2015,Return to Owner,,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,Black/White
A694726,2011-08-31,Giselle,2015-01-12T00:00:00-05:00,01-2015,Transfer,Partner,Dog,Spayed Female,3 years,Golden Retriever/Labrador Retriever,Gold
A695037,2012-01-07,*Nellie,2015-01-12T00:00:00-05:00,01-2015,Transfer,Partner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black/White
A695070,2014-01-08,David,2015-01-12T00:00:00-05:00,01-2015,Return to Owner,,Cat,Neutered Male,1 year,Russian Blue Mix,Blue
